Año,Trimestre,Provincia,Mbps (Media de bajada)
2024,2,BUENOS AIRES,157.41
2024,2,CAPITAL FEDERAL,233.01
2024,2,CATAMARCA,97.38
2024,2,CHACO,107.76
2024,2,CHUBUT,21.67
2024,2,CORDOBA,117.39
2024,2,CORRIENTES,104.26
2024,2,ENTRE RIOS,100.98
2024,2,FORMOSA,82.66
2024,2,JUJUY,49.87
2024,2,LA PAMPA,28.73
2024,2,LA RIOJA,64.24
2024,2,MENDOZA,55.32
2024,2,MISIONES,96.15
2024,2,NEUQUEN,97.04
2024,2,RIO NEGRO,75.05
2024,2,SALTA,87.03
2024,2,SAN JUAN,32.17
2024,2,SAN LUIS,181.61
2024,2,SANTA CRUZ,29.89
2024,2,SANTA FE,102.51
2024,2,SANTIAGO DEL ESTERO,48.95
2024,2,TIERRA DEL FUEGO,22.09
2024,2,TUCUMAN,108.93
2024,1,BUENOS AIRES,159.13
2024,1,CAPITAL FEDERAL,229.94
2024,1,CATAMARCA,91.45
2024,1,CHACO,107.51
2024,1,CHUBUT,20.5
2024,1,CORDOBA,114.89
2024,1,CORRIENTES,102.49
2024,1,ENTRE RIOS,101.36
2024,1,FORMOSA,83.8
2024,1,JUJUY,47.52
2024,1,LA PAMPA,26.55
2024,1,LA RIOJA,63.71
2024,1,MENDOZA,51.85
2024,1,MISIONES,94.98
2024,1,NEUQUEN,98.16
2024,1,RIO NEGRO,75.0
2024,1,SALTA,84.34
2024,1,SAN JUAN,30.58
2024,1,SAN LUIS,179.49
2024,1,SANTA CRUZ,31.6
2024,1,SANTA FE,100.2
2024,1,SANTIAGO DEL ESTERO,44.9
2024,1,TIERRA DEL FUEGO,21.54
2024,1,TUCUMAN,103.36
2023,4,BUENOS AIRES,158.49
2023,4,CAPITAL FEDERAL,234.44
2023,4,CATAMARCA,89.4
2023,4,CHACO,107.14
2023,4,CHUBUT,20.29
2023,4,CORDOBA,114.03
2023,4,CORRIENTES,100.9
2023,4,ENTRE RIOS,101.18
2023,4,FORMOSA,83.35
2023,4,JUJUY,46.2
2023,4,LA PAMPA,25.61
2023,4,LA RIOJA,64.18
2023,4,MENDOZA,49.46
2023,4,MISIONES,93.65
2023,4,NEUQUEN,99.63
2023,4,RIO NEGRO,74.37
2023,4,SALTA,83.04
2023,4,SAN JUAN,24.78
2023,4,SAN LUIS,174.59
2023,4,SANTA CRUZ,36.77
2023,4,SANTA FE,99.81
2023,4,SANTIAGO DEL ESTERO,44.22
2023,4,TIERRA DEL FUEGO,17.92
2023,4,TUCUMAN,101.55
2023,3,BUENOS AIRES,146.84
2023,3,CAPITAL FEDERAL,218.13
2023,3,CATAMARCA,87.9
2023,3,CHACO,107.5
2023,3,CHUBUT,19.26
2023,3,CORDOBA,111.5
2023,3,CORRIENTES,99.64
2023,3,ENTRE RIOS,96.26
2023,3,FORMOSA,80.29
2023,3,JUJUY,44.55
2023,3,LA PAMPA,24.21
2023,3,LA RIOJA,63.84
2023,3,MENDOZA,46.96
2023,3,MISIONES,91.49
2023,3,NEUQUEN,96.57
2023,3,RIO NEGRO,70.93
2023,3,SALTA,80.8
2023,3,SAN JUAN,24.45
2023,3,SAN LUIS,104.97
2023,3,SANTA CRUZ,15.67
2023,3,SANTA FE,97.39
2023,3,SANTIAGO DEL ESTERO,41.46
2023,3,TIERRA DEL FUEGO,17.17
2023,3,TUCUMAN,98.85
2023,2,BUENOS AIRES,138.35
2023,2,CAPITAL FEDERAL,208.01
2023,2,CATAMARCA,86.13
2023,2,CHACO,105.45
2023,2,CHUBUT,18.58
2023,2,CORDOBA,111.82
2023,2,CORRIENTES,97.21
2023,2,ENTRE RIOS,89.37
2023,2,FORMOSA,77.32
2023,2,JUJUY,43.56
2023,2,LA PAMPA,22.78
2023,2,LA RIOJA,63.55
2023,2,MENDOZA,42.69
2023,2,MISIONES,90.55
2023,2,NEUQUEN,93.97
2023,2,RIO NEGRO,70.76
2023,2,SALTA,79.1
2023,2,SAN JUAN,20.39
2023,2,SAN LUIS,103.84
2023,2,SANTA CRUZ,15.48
2023,2,SANTA FE,94.87
2023,2,SANTIAGO DEL ESTERO,37.62
2023,2,TIERRA DEL FUEGO,16.92
2023,2,TUCUMAN,96.69
2023,1,BUENOS AIRES,116.18
2023,1,CAPITAL FEDERAL,188.65
2023,1,CATAMARCA,87.41
2023,1,CHACO,104.33
2023,1,CHUBUT,18.36
2023,1,CORDOBA,109.57
2023,1,CORRIENTES,94.8
2023,1,ENTRE RIOS,86.71
2023,1,FORMOSA,73.96
2023,1,JUJUY,42.75
2023,1,LA PAMPA,20.09
2023,1,LA RIOJA,63.13
2023,1,MENDOZA,41.45
2023,1,MISIONES,89.81
2023,1,NEUQUEN,93.42
2023,1,RIO NEGRO,74.4
2023,1,SALTA,76.85
2023,1,SAN JUAN,18.7
2023,1,SAN LUIS,55.85
2023,1,SANTA CRUZ,14.98
2023,1,SANTA FE,92.22
2023,1,SANTIAGO DEL ESTERO,36.27
2023,1,TIERRA DEL FUEGO,14.58
2023,1,TUCUMAN,95.79
2022,4,BUENOS AIRES,111.0
2022,4,CAPITAL FEDERAL,182.86
2022,4,CATAMARCA,83.33
2022,4,CHACO,104.02
2022,4,CHUBUT,15.92
