Año,Trimestre,Provincia,Accesos por cada 100 hogares
2024,2,BUENOS AIRES,79.84
2024,2,CAPITAL FEDERAL,116.37
2024,2,CATAMARCA,68.81
2024,2,CHACO,44.06
2024,2,CHUBUT,86.33
2024,2,CORDOBA,90.79
2024,2,CORRIENTES,51.38
2024,2,ENTRE RIOS,68.64
2024,2,FORMOSA,39.69
2024,2,JUJUY,58.3
2024,2,LA PAMPA,101.17
2024,2,LA RIOJA,79.52
2024,2,MENDOZA,52.3
2024,2,MISIONES,57.73
2024,2,NEUQUEN,78.93
2024,2,RIO NEGRO,71.35
2024,2,SALTA,55.72
2024,2,SAN JUAN,51.17
2024,2,SAN LUIS,103.4
2024,2,SANTA CRUZ,69.92
2024,2,SANTA FE,81.34
2024,2,SANTIAGO DEL ESTERO,49.67
2024,2,TIERRA DEL FUEGO,108.89
2024,2,TUCUMAN,60.84
2024,1,BUENOS AIRES,81.1
2024,1,CAPITAL FEDERAL,119.53
2024,1,CATAMARCA,68.82
2024,1,CHACO,46.7
2024,1,CHUBUT,84.89
2024,1,CORDOBA,90.7
2024,1,CORRIENTES,51.94
2024,1,ENTRE RIOS,69.31
2024,1,FORMOSA,39.61
2024,1,JUJUY,57.65
2024,1,LA PAMPA,100.49
2024,1,LA RIOJA,80.03
2024,1,MENDOZA,52.59
2024,1,MISIONES,56.76
2024,1,NEUQUEN,79.5
2024,1,RIO NEGRO,71.14
2024,1,SALTA,56.3
2024,1,SAN JUAN,51.62
2024,1,SAN LUIS,102.7
2024,1,SANTA CRUZ,67.58
2024,1,SANTA FE,80.4
2024,1,SANTIAGO DEL ESTERO,49.41
2024,1,TIERRA DEL FUEGO,109.78
2024,1,TUCUMAN,60.48
2023,4,BUENOS AIRES,80.96
2023,4,CAPITAL FEDERAL,117.02
2023,4,CATAMARCA,68.63
2023,4,CHACO,44.35
2023,4,CHUBUT,84.96
2023,4,CORDOBA,90.67
2023,4,CORRIENTES,52.56
2023,4,ENTRE RIOS,69.94
2023,4,FORMOSA,39.23
2023,4,JUJUY,57.78
2023,4,LA PAMPA,99.96
2023,4,LA RIOJA,80.22
2023,4,MENDOZA,52.15
2023,4,MISIONES,56.27
2023,4,NEUQUEN,79.91
2023,4,RIO NEGRO,70.26
2023,4,SALTA,56.98
2023,4,SAN JUAN,50.08
2023,4,SAN LUIS,102.07
2023,4,SANTA CRUZ,73.75
2023,4,SANTA FE,79.75
2023,4,SANTIAGO DEL ESTERO,49.08
2023,4,TIERRA DEL FUEGO,110.49
2023,4,TUCUMAN,61.04
2023,3,BUENOS AIRES,80.64
2023,3,CAPITAL FEDERAL,116.4
2023,3,CATAMARCA,68.55
2023,3,CHACO,42.87
2023,3,CHUBUT,84.23
2023,3,CORDOBA,90.05
2023,3,CORRIENTES,52.78
2023,3,ENTRE RIOS,68.84
2023,3,FORMOSA,38.86
2023,3,JUJUY,57.61
2023,3,LA PAMPA,99.0
2023,3,LA RIOJA,80.44
2023,3,MENDOZA,52.03
2023,3,MISIONES,55.51
2023,3,NEUQUEN,79.97
2023,3,RIO NEGRO,68.4
2023,3,SALTA,57.57
2023,3,SAN JUAN,50.45
2023,3,SAN LUIS,98.55
2023,3,SANTA CRUZ,40.89
2023,3,SANTA FE,79.09
2023,3,SANTIAGO DEL ESTERO,48.67
2023,3,TIERRA DEL FUEGO,105.95
2023,3,TUCUMAN,61.26
2023,2,BUENOS AIRES,79.67
2023,2,CAPITAL FEDERAL,115.48
2023,2,CATAMARCA,67.42
2023,2,CHACO,42.87
2023,2,CHUBUT,82.49
2023,2,CORDOBA,90.13
2023,2,CORRIENTES,52.37
2023,2,ENTRE RIOS,64.43
2023,2,FORMOSA,38.32
2023,2,JUJUY,57.78
2023,2,LA PAMPA,98.35
2023,2,LA RIOJA,80.01
2023,2,MENDOZA,52.09
2023,2,MISIONES,55.18
2023,2,NEUQUEN,78.97
2023,2,RIO NEGRO,68.56
2023,2,SALTA,57.48
2023,2,SAN JUAN,47.52
2023,2,SAN LUIS,93.41
2023,2,SANTA CRUZ,41.66
2023,2,SANTA FE,78.83
2023,2,SANTIAGO DEL ESTERO,47.14
2023,2,TIERRA DEL FUEGO,106.38
2023,2,TUCUMAN,60.75
2023,1,BUENOS AIRES,79.0
2023,1,CAPITAL FEDERAL,122.59
2023,1,CATAMARCA,66.17
2023,1,CHACO,43.15
2023,1,CHUBUT,85.89
2023,1,CORDOBA,88.84
2023,1,CORRIENTES,52.05
2023,1,ENTRE RIOS,64.79
2023,1,FORMOSA,38.79
2023,1,JUJUY,58.2
2023,1,LA PAMPA,96.55
2023,1,LA RIOJA,79.74
2023,1,MENDOZA,51.4
2023,1,MISIONES,53.97
2023,1,NEUQUEN,78.55
2023,1,RIO NEGRO,69.16
2023,1,SALTA,57.67
2023,1,SAN JUAN,49.75
2023,1,SAN LUIS,90.17
2023,1,SANTA CRUZ,43.42
2023,1,SANTA FE,78.13
2023,1,SANTIAGO DEL ESTERO,47.55
2023,1,TIERRA DEL FUEGO,104.23
2023,1,TUCUMAN,60.34
2022,4,BUENOS AIRES,78.94
2022,4,CAPITAL FEDERAL,122.73
2022,4,CATAMARCA,65.77
2022,4,CHACO,43.62
2022,4,CHUBUT,85.57
2022,4,CORDOBA,89.03
2022,4,CORRIENTES,51.64
2022,4,ENTRE RIOS,64.01
2022,4,FORMOSA,39.41
2022,4,JUJUY,58.46
2022,4,LA PAMPA,94.8
2022,4,LA RIOJA,79.86
2022,4,MENDOZA,51.36
2022,4,MISIONES,52.85
2022,4,NEUQUEN,78.67
2022,4,RIO NEGRO,68.42
2022,4,SALTA,57.96
2022,4,SAN JUAN,50.88
2022,4,SAN LUIS,90.27
2022,4,SANTA CRUZ,43.53
2022,4,SANTA FE,78.4
2022,4,SANTIAGO DEL ESTERO,48.05
2022,4,TIERRA DEL FUEGO,101.44
2022,4,TUCUMAN,61.04
