Año,Trimestre,Provincia,Total,Banda ancha fija (en miles)
2024,2,BUENOS AIRES,4989380,4983.48
2024,2,CAPITAL FEDERAL,1463599,1461.55
2024,2,CATAMARCA,75074,75.07
2024,2,CHACO,147092,147.09
2024,2,CHUBUT,174223,173.37
2024,2,CORDOBA,1085774,1085.71
2024,2,CORRIENTES,156475,156.47
2024,2,ENTRE RIOS,294311,294.29
2024,2,FORMOSA,62950,62.95
2024,2,JUJUY,119684,119.68
2024,2,LA PAMPA,123263,123.1
2024,2,LA RIOJA,87481,87.48
2024,2,MENDOZA,301653,300.92
2024,2,MISIONES,206554,206.55
2024,2,NEUQUEN,163542,163.1
2024,2,RIO NEGRO,172041,171.53
2024,2,SALTA,201341,201.34
2024,2,SAN JUAN,105990,105.74
2024,2,SAN LUIS,157609,157.44
2024,2,SANTA CRUZ,83461,83.27
2024,2,SANTA FE,930973,930.87
2024,2,SANTIAGO DEL ESTERO,125314,125.31
2024,2,TIERRA DEL FUEGO,61409,61.1
2024,2,TUCUMAN,266914,266.89
2024,1,BUENOS AIRES,5044557,5038.66
2024,1,CAPITAL FEDERAL,1504711,1502.66
2024,1,CATAMARCA,74933,74.93
2024,1,CHACO,155543,155.54
2024,1,CHUBUT,170676,169.82
2024,1,CORDOBA,1082199,1082.14
2024,1,CORRIENTES,157894,157.89
2024,1,ENTRE RIOS,296552,296.53
2024,1,FORMOSA,62718,62.72
2024,1,JUJUY,118053,118.05
2024,1,LA PAMPA,122195,122.03
2024,1,LA RIOJA,87782,87.78
2024,1,MENDOZA,302597,301.87
2024,1,MISIONES,202556,202.56
2024,1,NEUQUEN,164246,163.81
2024,1,RIO NEGRO,171019,170.5
2024,1,SALTA,202861,202.86
2024,1,SAN JUAN,106666,106.42
2024,1,SAN LUIS,156090,155.93
2024,1,SANTA CRUZ,80208,80.02
2024,1,SANTA FE,918588,918.48
2024,1,SANTIAGO DEL ESTERO,124362,124.36
2024,1,TIERRA DEL FUEGO,61555,61.25
2024,1,TUCUMAN,264595,264.57
2023,4,BUENOS AIRES,5011620,5005.72
2023,4,CAPITAL FEDERAL,1474367,1472.32
2023,4,CATAMARCA,74587,74.59
2023,4,CHACO,147386,147.38
2023,4,CHUBUT,170170,169.31
2023,4,CORDOBA,1079302,1079.24
2023,4,CORRIENTES,159472,159.47
2023,4,ENTRE RIOS,298637,298.62
2023,4,FORMOSA,62002,62.0
2023,4,JUJUY,118020,118.02
2023,4,LA PAMPA,121326,121.16
2023,4,LA RIOJA,87721,87.72
2023,4,MENDOZA,299351,298.62
2023,4,MISIONES,200333,200.33
2023,4,NEUQUEN,164627,164.19
2023,4,RIO NEGRO,168417,167.9
2023,4,SALTA,204732,204.73
2023,4,SAN JUAN,103210,102.96
2023,4,SAN LUIS,154685,154.52
2023,4,SANTA CRUZ,87031,86.84
2023,4,SANTA FE,909501,909.4
2023,4,SANTIAGO DEL ESTERO,123230,123.23
2023,4,TIERRA DEL FUEGO,61599,61.29
2023,4,TUCUMAN,266335,266.31
2023,3,BUENOS AIRES,4968237,4962.34
2023,3,CAPITAL FEDERAL,1467984,1465.93
2023,3,CATAMARCA,74355,74.35
2023,3,CHACO,142146,142.14
2023,3,CHUBUT,168068,167.21
2023,3,CORDOBA,1069334,1069.27
2023,3,CORRIENTES,159829,159.83
2023,3,ENTRE RIOS,293293,293.27
2023,3,FORMOSA,61314,61.31
2023,3,JUJUY,117377,117.38
2023,3,LA PAMPA,119921,119.76
