Año,Trimestre,Ingresos (miles de millones de pesos)
2024,2,442.03
2024,1,346.2
2023,4,167.38
2023,3,133.11
2023,2,118.06
2023,1,104.13
2022,4,72.44
2022,3,64.09
2022,2,60.42
2022,1,55.22
2021,4,45.47
2021,3,43.0
2021,2,38.24
2021,1,36.68
2020,4,33.54
2020,3,32.0
2020,2,32.1
2020,1,29.95
2019,4,24.17
2019,3,21.65
2019,2,20.74
2019,1,20.21
2018,4,16.64
2018,3,15.41
2018,2,14.32
2018,1,13.17
2017,4,11.23
2017,3,10.07
2017,2,9.68
2017,1,8.7
2016,4,7.48
2016,3,6.91
2016,2,6.53
2016,1,5.94
2015,4,5.38
2015,3,5.15
2015,2,4.7
2015,1,4.88
2014,4,3.95
2014,3,3.48
2014,2,3.27
2014,1,2.98
