Año,Trimestre,Total general
2012,1,153
2012,2,73493
2012,3,100715
2012,4,92853
2013,1,72149
2013,2,78470
2013,3,89330
2013,4,101092
2014,1,104780
2014,2,181239
2014,3,254971
2014,4,261731
2015,1,242979
2015,2,331844
2015,3,353988
2015,4,362295
2016,1,338575
2016,2,445797
2016,3,512274
2016,4,491591
2017,1,341011
2017,2,315220
2017,3,329435
2017,4,327144
2018,1,312584
2018,2,387998
2018,3,435507
2018,4,516521
2019,1,637370
2019,2,889306
2019,3,1005377
2019,4,1006480
2020,1,890027
2020,2,566694
2020,3,845931
2020,4,678870
2021,1,574096
2021,2,627655
2021,3,771697
2021,4,870743
2022,1,864758
2022,2,950074
2022,3,925762
2022,4,867744
2023,1,727366
2023,2,558106
2023,3,477561
2023,4,411154
2024,1,456025
2024,2,512092
