Año,Trimestre,Ingresos (en millones de pesos)
2014,1,2916.07
2014,2,2974.87
2014,3,3105.46
2014,4,3339.69
2015,1,3260.12
2015,2,3425.52
2015,3,3590.88
2015,4,3815.36
2016,1,4198.26
2016,2,4718.77
2016,3,4951.97
2016,4,4964.6
2017,1,6375.68
2017,2,6970.62
2017,3,6667.94
2017,4,5514.34
2018,1,8252.28
2018,2,7911.72
2018,3,10111.35
2018,4,8997.16
2019,1,12238.57
2019,2,14181.06
2019,3,13404.57
2019,4,20321.58
2020,1,17067.6
2020,2,21035.52
2020,3,18162.02
2020,4,19750.3
2021,1,21378.67
2021,2,22178.75
2021,3,20790.0
2021,4,40616.06
2022,1,30583.34
2022,2,31258.18
2022,3,29698.51
2022,4,32356.91
2023,1,60878.9
2023,2,64560.39
2023,3,58985.97
2023,4,62663.32
2024,1,142662.29
2024,2,192408.36
