Año,Trimestre,SMS salientes (millones)
2013,1,36430.0
2013,2,34255.07
2013,3,33217.67
2013,4,22547.13
2014,1,18393.2
2014,2,15877.21
2014,3,14201.44
2014,4,12287.62
2015,1,14254.06
2015,2,12732.24
2015,3,11650.53
2015,4,10588.03
2016,1,9525.08
2016,2,8390.64
2016,3,7610.37
2016,4,7269.74
2017,1,6595.76
2017,2,6313.94
2017,3,5784.9
2017,4,5261.4
2018,1,4402.93
2018,2,4447.46
2018,3,3939.63
2018,4,3697.69
2019,1,2979.27
2019,2,2827.45
2019,3,2949.92
2019,4,2175.99
2020,1,1957.6
2020,2,1941.26
2020,3,1887.89
2020,4,1162.62
2021,1,1061.01
2021,2,748.7
2021,3,1109.24
2021,4,929.84
2022,1,909.95
2022,2,789.03
2022,3,803.39
2022,4,773.52
2023,1,681.86
2023,2,643.32
2023,3,649.74
2023,4,600.83
2024,1,494.01
2024,2,612.24
