Año,Trimestre,Llamadas pospago salientes (millones),Llamadas prepago salientes (millones),Total de llamadas salientes (millones)
2013,1,3796.55,3412.77,7209.31
2013,2,4156.87,3699.39,7856.26
2013,3,4466.73,3814.92,8281.65
2013,4,4743.79,3906.88,8650.67
2014,1,4001.4,3589.18,7590.58
2014,2,4373.15,3942.14,8315.29
2014,3,4676.13,4356.67,9032.8
2014,4,4957.35,4649.2,9606.55
2015,1,4180.43,3992.23,8172.66
2015,2,4612.09,4081.5,8693.59
2015,3,4834.5,4544.94,9379.43
2015,4,5015.85,4799.84,9815.69
2016,1,4602.64,4291.79,8894.43
2016,2,4633.92,4362.03,8995.95
2016,3,5125.31,3985.48,9110.8
2016,4,5977.41,3289.3,9266.71
2017,1,5337.93,2883.16,8221.09
2017,2,5431.37,2753.03,8184.4
2017,3,5401.69,2812.8,8214.49
2017,4,5506.43,2895.91,8402.34
2018,1,4629.94,2639.04,7268.98
2018,2,4997.59,2617.57,7615.16
2018,3,5114.17,2585.55,7699.72
2018,4,5415.22,2825.48,8240.7
2019,1,4990.89,2569.63,7560.51
2019,2,5081.58,2632.19,7713.77
2019,3,4735.77,2519.09,7254.86
2019,4,4935.4,2665.72,7601.12
2020,1,4356.73,2226.86,6583.59
2020,2,3944.06,2091.33,6035.39
2020,3,4216.18,2040.65,6256.82
2020,4,4653.52,1353.63,6007.15
2021,1,4312.13,1273.25,5585.38
2021,2,4343.28,1084.24,5427.53
2021,3,4365.1,1195.39,5560.49
2021,4,4580.32,1355.53,5935.85
2022,1,4073.51,1265.69,5339.21
2022,2,4109.74,1364.89,5474.62
2022,3,4123.4,1320.34,5443.74
2022,4,3785.22,1112.91,4898.13
2023,1,3251.86,1023.5,4275.36
2023,2,3272.34,1052.37,4324.71
2023,3,3098.77,1095.87,4194.64
2023,4,3413.23,1165.62,4578.84
2024,1,2893.51,1068.71,3962.22
2024,2,2709.62,1067.03,3776.65
