Año,Trimestre,Ingresos (miles de millones de $)
2013,1,13.14
2013,2,13.97
2013,3,15.24
2013,4,16.22
2014,1,15.94
2014,2,17.68
2014,3,18.98
2014,4,20.01
2015,1,19.34
2015,2,19.95
2015,3,21.79
2015,4,24.88
2016,1,24.76
2016,2,25.35
2016,3,27.42
2016,4,30.14
2017,1,31.21
2017,2,33.51
2017,3,35.71
2017,4,38.11
2018,1,38.73
2018,2,40.65
2018,3,43.28
2018,4,44.03
2019,1,50.25
2019,2,55.34
2019,3,60.91
2019,4,65.39
2020,1,72.08
2020,2,73.54
2020,3,79.63
2020,4,83.48
2021,1,93.11
2021,2,104.78
2021,3,117.75
2021,4,127.39
2022,1,130.45
2022,2,153.03
2022,3,180.36
2022,4,216.23
2023,1,257.56
2023,2,307.34
2023,3,380.12
2023,4,515.34
2024,1,769.49
2024,2,1108.47
