Año,Trimestre,Provincia,Accesos TV por suscripción (en miles)
2024,2,BUENOS AIRES,2873.48
2024,2,CAPITAL FEDERAL,693.69
2024,2,CATAMARCA,54.86
2024,2,CHACO,115.24
2024,2,CHUBUT,78.47
2024,2,CORDOBA,1118.68
2024,2,CORRIENTES,124.97
2024,2,ENTRE RIOS,256.83
2024,2,FORMOSA,95.48
2024,2,JUJUY,120.83
2024,2,LA PAMPA,79.24
2024,2,LA RIOJA,23.5
2024,2,MENDOZA,139.27
2024,2,MISIONES,133.16
2024,2,NEUQUEN,64.59
2024,2,RIO NEGRO,97.18
2024,2,SALTA,224.33
2024,2,SAN JUAN,37.89
2024,2,SAN LUIS,60.69
2024,2,SANTA CRUZ,39.77
2024,2,SANTA FE,699.24
2024,2,SANTIAGO DEL ESTERO,147.13
2024,2,TIERRA DEL FUEGO,46.18
2024,2,TUCUMAN,129.72
2024,1,BUENOS AIRES,3000.17
2024,1,CAPITAL FEDERAL,705.79
2024,1,CATAMARCA,51.06
2024,1,CHACO,116.72
2024,1,CHUBUT,77.97
2024,1,CORDOBA,1125.9
2024,1,CORRIENTES,125.52
2024,1,ENTRE RIOS,256.67
2024,1,FORMOSA,95.51
2024,1,JUJUY,120.59
2024,1,LA PAMPA,80.19
2024,1,LA RIOJA,23.34
2024,1,MENDOZA,140.18
2024,1,MISIONES,131.92
2024,1,NEUQUEN,65.31
2024,1,RIO NEGRO,96.04
2024,1,SALTA,222.36
2024,1,SAN JUAN,38.48
2024,1,SAN LUIS,60.33
2024,1,SANTA CRUZ,39.94
2024,1,SANTA FE,703.12
2024,1,SANTIAGO DEL ESTERO,147.93
2024,1,TIERRA DEL FUEGO,45.72
2024,1,TUCUMAN,130.75
2023,4,BUENOS AIRES,3030.59
2023,4,CAPITAL FEDERAL,718.32
2023,4,CATAMARCA,52.24
2023,4,CHACO,117.09
2023,4,CHUBUT,78.21
2023,4,CORDOBA,1125.89
2023,4,CORRIENTES,126.55
2023,4,ENTRE RIOS,258.24
2023,4,FORMOSA,78.7
2023,4,JUJUY,120.72
2023,4,LA PAMPA,81.52
2023,4,LA RIOJA,24.1
2023,4,MENDOZA,144.4
2023,4,MISIONES,133.49
2023,4,NEUQUEN,66.93
2023,4,RIO NEGRO,98.32
2023,4,SALTA,218.12
2023,4,SAN JUAN,41.6
2023,4,SAN LUIS,52.98
2023,4,SANTA CRUZ,42.14
2023,4,SANTA FE,704.46
2023,4,SANTIAGO DEL ESTERO,158.57
2023,4,TIERRA DEL FUEGO,45.67
2023,4,TUCUMAN,131.97
2023,3,BUENOS AIRES,3019.72
2023,3,CAPITAL FEDERAL,730.24
2023,3,CATAMARCA,56.38
2023,3,CHACO,120.94
2023,3,CHUBUT,79.59
2023,3,CORDOBA,1147.98
2023,3,CORRIENTES,140.36
2023,3,ENTRE RIOS,233.0
2023,3,FORMOSA,75.71
2023,3,JUJUY,123.35
2023,3,LA PAMPA,82.22
2023,3,LA RIOJA,35.19
2023,3,MENDOZA,143.75
2023,3,MISIONES,141.52
2023,3,NEUQUEN,75.29
2023,3,RIO NEGRO,104.31
2023,3,SALTA,219.13
2023,3,SAN JUAN,44.57
2023,3,SAN LUIS,48.75
2023,3,SANTA CRUZ,41.37
2023,3,SANTA FE,754.99
2023,3,SANTIAGO DEL ESTERO,149.72
2023,3,TIERRA DEL FUEGO,45.76
2023,3,TUCUMAN,129.91
2023,2,BUENOS AIRES,3129.74
2023,2,CAPITAL FEDERAL,819.77
2023,2,CATAMARCA,54.38
2023,2,CHACO,124.45
2023,2,CHUBUT,76.93
2023,2,CORDOBA,1213.54
2023,2,CORRIENTES,146.97
2023,2,ENTRE RIOS,240.51
2023,2,FORMOSA,76.36
2023,2,JUJUY,122.16
2023,2,LA PAMPA,82.35
2023,2,LA RIOJA,26.15
2023,2,MENDOZA,142.78
2023,2,MISIONES,146.24
2023,2,NEUQUEN,85.53
2023,2,RIO NEGRO,103.06
2023,2,SALTA,226.11
2023,2,SAN JUAN,42.09
2023,2,SAN LUIS,48.51
2023,2,SANTA CRUZ,39.29
2023,2,SANTA FE,781.23
2023,2,SANTIAGO DEL ESTERO,157.35
2023,2,TIERRA DEL FUEGO,45.46
2023,2,TUCUMAN,145.42
2023,1,BUENOS AIRES,3026.18
2023,1,CAPITAL FEDERAL,754.66
2023,1,CATAMARCA,53.88
2023,1,CHACO,119.11
2023,1,CHUBUT,77.34
2023,1,CORDOBA,1155.5
2023,1,CORRIENTES,139.74
2023,1,ENTRE RIOS,230.87
2023,1,FORMOSA,74.72
2023,1,JUJUY,120.97
2023,1,LA PAMPA,82.42
2023,1,LA RIOJA,25.23
2023,1,MENDOZA,140.69
2023,1,MISIONES,143.07
2023,1,NEUQUEN,77.67
2023,1,RIO NEGRO,106.88
2023,1,SALTA,215.73
2023,1,SAN JUAN,42.46
2023,1,SAN LUIS,48.35
2023,1,SANTA CRUZ,36.16
2023,1,SANTA FE,758.05
2023,1,SANTIAGO DEL ESTERO,155.37
2023,1,TIERRA DEL FUEGO,44.74
2023,1,TUCUMAN,140.62
2022,4,BUENOS AIRES,2965.7
2022,4,CAPITAL FEDERAL,738.95
2022,4,CATAMARCA,54.33
2022,4,CHACO,124.01
2022,4,CHUBUT,80.55
2022,4,CORDOBA,1144.23
2022,4,CORRIENTES,138.28
2022,4,ENTRE RIOS,232.68
2022,4,FORMOSA,68.18
2022,4,JUJUY,118.44
2022,4,LA PAMPA,84.53
2022,4,LA RIOJA,24.2
2022,4,MENDOZA,135.97
2022,4,MISIONES,144.54
2022,4,NEUQUEN,75.84
2022,4,RIO NEGRO,106.44
2022,4,SALTA,216.93
2022,4,SAN JUAN,39.66
2022,4,SAN LUIS,48.67
2022,4,SANTA CRUZ,36.88
2022,4,SANTA FE,765.31
2022,4,SANTIAGO DEL ESTERO,153.65
2022,4,TIERRA DEL FUEGO,44.08
2022,4,TUCUMAN,137.99
2022,3,BUENOS AIRES,2998.02
2022,3,CAPITAL FEDERAL,743.34
2022,3,CATAMARCA,52.27
2022,3,CHACO,121.77
2022,3,CHUBUT,80.02
2022,3,CORDOBA,1141.18
2022,3,CORRIENTES,135.71
2022,3,ENTRE RIOS,231.1
2022,3,FORMOSA,68.01
2022,3,JUJUY,116.49
2022,3,LA PAMPA,74.18
2022,3,LA RIOJA,24.22
2022,3,MENDOZA,133.14
2022,3,MISIONES,142.9
2022,3,NEUQUEN,73.77
2022,3,RIO NEGRO,101.28
2022,3,SALTA,214.52
2022,3,SAN JUAN,39.32
2022,3,SAN LUIS,47.37
2022,3,SANTA CRUZ,42.09
2022,3,SANTA FE,758.93
2022,3,SANTIAGO DEL ESTERO,151.09
2022,3,TIERRA DEL FUEGO,43.87
2022,3,TUCUMAN,131.33
2022,2,BUENOS AIRES,2994.21
2022,2,CAPITAL FEDERAL,745.19
2022,2,CATAMARCA,52.14
2022,2,CHACO,122.11
2022,2,CHUBUT,79.11
2022,2,CORDOBA,1141.12
2022,2,CORRIENTES,132.41
2022,2,ENTRE RIOS,230.1
2022,2,FORMOSA,67.34
2022,2,JUJUY,112.37
2022,2,LA PAMPA,77.94
2022,2,LA RIOJA,24.06
2022,2,MENDOZA,129.89
2022,2,MISIONES,142.5
2022,2,NEUQUEN,75.77
2022,2,RIO NEGRO,107.55
2022,2,SALTA,213.62
2022,2,SAN JUAN,37.36
2022,2,SAN LUIS,47.13
2022,2,SANTA CRUZ,42.02
2022,2,SANTA FE,750.12
2022,2,SANTIAGO DEL ESTERO,148.5
2022,2,TIERRA DEL FUEGO,42.48
2022,2,TUCUMAN,132.54
2022,1,BUENOS AIRES,2975.67
2022,1,CAPITAL FEDERAL,745.26
2022,1,CATAMARCA,47.12
2022,1,CHACO,119.74
2022,1,CHUBUT,77.73
2022,1,CORDOBA,1124.25
2022,1,CORRIENTES,131.17
2022,1,ENTRE RIOS,229.14
2022,1,FORMOSA,67.26
2022,1,JUJUY,109.92
2022,1,LA PAMPA,78.66
2022,1,LA RIOJA,23.75
2022,1,MENDOZA,120.66
2022,1,MISIONES,139.74
2022,1,NEUQUEN,76.01
2022,1,RIO NEGRO,107.85
2022,1,SALTA,215.98
2022,1,SAN JUAN,34.47
2022,1,SAN LUIS,46.49
2022,1,SANTA CRUZ,41.8
2022,1,SANTA FE,744.32
2022,1,SANTIAGO DEL ESTERO,145.55
